state,month,NDVI,LST_Day,LST_Night,Precipitation,state_crop
Iowa,1,0.08312693155969875,-4.967851762899954,-11.546942367005045,39.10280994590281,Iowa (Corn)
Iowa,2,0.1550278199031406,2.316780004495172,-5.784549475841686,42.01955550840342,Iowa (Corn)
Iowa,3,0.23107363667684713,9.864652597451027,-3.8717370111197624,41.10700006128246,Iowa (Corn)
Iowa,4,0.30287663472950654,24.461661504173833,3.1779786418480285,54.48624818236302,Iowa (Corn)
Iowa,5,0.41734097386703173,30.620871990528485,10.30390970123176,61.24751130014134,Iowa (Corn)
Iowa,6,0.7008532631092164,32.59472186895533,16.738316681311858,66.58787441307345,Iowa (Corn)
Iowa,7,0.8363156007666265,27.327899421981442,17.692191141500643,83.28511236740643,Iowa (Corn)
Iowa,8,0.7928061335263282,27.6098352961223,18.632531573772496,72.21733905897747,Iowa (Corn)
Iowa,9,0.4979975919120076,26.42970308608841,13.084525718044404,55.58787069810493,Iowa (Corn)
Iowa,10,0.35306072641565645,16.655985425479344,6.092787207900017,69.75277395242851,Iowa (Corn)
Iowa,11,0.3160099037974041,9.693967774031307,-2.213110669577361,14.646663939826936,Iowa (Corn)
Iowa,12,0.2755120130882605,3.5222639612142643,-4.322367724027913,35.37076800860522,Iowa (Corn)
Kansas,1,0.22690870392753992,5.280919276494444,-6.515615064057556,25.79412645769242,Kansas (Wheat)
Kansas,2,0.2453648207481701,10.966877381191523,-3.2474085854835835,23.196586850696452,Kansas (Wheat)
Kansas,3,0.2771486055421324,18.76239223519144,-0.3847820073727348,23.8277044538576,Kansas (Wheat)
Kansas,4,0.33177187282935366,29.09196422941335,6.047471316239978,35.03091514711116,Kansas (Wheat)
Kansas,5,0.480761214379975,32.266788217671035,12.715283170726934,93.42963164310969,Kansas (Wheat)
Kansas,6,0.5642997853170678,33.175454248837525,17.785071518745838,103.69388293687811,Kansas (Wheat)
Kansas,7,0.6006524455362722,34.32655487088624,21.464117459309364,113.59236826450825,Kansas (Wheat)
Kansas,8,0.5440183940095538,35.01335433609859,20.97254272014635,75.33288379295824,Kansas (Wheat)
Kansas,9,0.44777457989547476,31.757196972717736,15.571619800547921,51.06020121063446,Kansas (Wheat)
Kansas,10,0.36323431561853,22.737140354012126,11.238926576895153,48.498034910617505,Kansas (Wheat)
Kansas,11,0.33850598682709626,14.201647469623936,1.0161309965524765,24.648966666451717,Kansas (Wheat)
Kansas,12,0.3211101739810793,7.337210078067301,-1.828965816782386,40.92102237097656,Kansas (Wheat)
Texas,1,0.33999878624912827,16.783078130439947,4.7377010734824125,31.98730117365239,Texas (Cotton)
Texas,2,0.3525383523698822,20.540117445774285,6.53548250978406,29.027618857315282,Texas (Cotton)
Texas,3,0.39569800485704915,26.70685987947644,11.329602189632112,35.74786727095016,Texas (Cotton)
Texas,4,0.44571871908301414,31.19356901093522,13.156536839703449,71.4780663842279,Texas (Cotton)
Texas,5,0.49304676396221114,33.46809582349579,18.702389098716935,118.38195193011516,Texas (Cotton)
Texas,6,0.47926929790525646,37.42538533246778,23.804907505562994,62.41378817691938,Texas (Cotton)
Texas,7,0.4190032520613838,40.07627750207297,25.94864565049062,33.801319749511876,Texas (Cotton)
Texas,8,0.37618454856608496,41.149380704570774,25.665204059796054,26.591450323407106,Texas (Cotton)
Texas,9,0.4119143926445546,35.86087926859716,22.516158835934732,59.67406479928251,Texas (Cotton)
Texas,10,0.4197122908547084,26.933371068879183,15.309119843897179,88.92394211623859,Texas (Cotton)
Texas,11,0.4223068400082285,19.861211715950503,8.473182516410247,37.08001893874976,Texas (Cotton)
Texas,12,0.4035998809489006,15.015782073490925,4.402761814046528,34.76745562038614,Texas (Cotton)
